peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
area,mean,10,20.40052729607792,16.925884106062572,18.85908298152695,23.127839945712925,3.4746431900153496,1.5414443145509722,-2.727312649635003
area,mean,11,19.22579805544677,17.185251683987637,18.799761300438508,24.002111305987267,2.0405463714591328,0.426036755008262,-4.776313250540497
area,mean,12,19.114311887325673,17.31698916274704,18.724382269540282,24.64267618487971,1.7973227245786347,0.38992961778539126,-5.528364297554038
area,mean,13,20.961309820249586,17.601268777172656,18.798626103111037,25.004370429212862,3.3600410430769294,2.162683717138549,-4.043060608963277
area,mean,14,21.591586877822664,17.98610766695286,18.910682697295687,24.881991011889056,3.6054792108698024,2.6809041805269764,-3.2904041340663923
area,mean,15,21.377603649307872,18.026048480166324,19.247147676201543,24.559250614677243,3.351555169141548,2.1304559731063293,-3.181646965369371
area,mean,16,21.714825770018535,17.6589273374363,19.66749875025622,23.859530103925067,4.055898432582236,2.0473270197623137,-2.1447043339065317
area,mean,17,22.94351458243354,17.602967154524002,19.723318571012697,22.6111623142908,5.340547427909538,3.2201960114208426,0.33235226814273844
area,mean,18,24.01961484499682,17.52735399138879,19.827047621921167,22.017763746157534,6.49226085360803,4.1925672230756525,2.0018510988392855
area,mean,19,24.703369301090422,17.617560932676934,19.91185180726465,21.722982169882428,7.085808368413488,4.791517493825772,2.980387131207994
area,mean,20,25.259791542405008,18.092253813975567,19.98864500284591,22.64075313688295,7.167537728429441,5.271146539559098,2.6190384055220584
area,mean,21,25.70417030171246,18.62945861350476,20.274509656177628,23.25470236216856,7.0747116882076995,5.429660645534831,2.4494679395439007
area,mean,22,25.743275471501967,18.893953402594736,20.634270943728453,23.47014564473353,6.849322068907231,5.109004527773514,2.273129826768436
area,mean,23,25.647188441550597,19.200978734204753,20.674513810680818,23.932699308758547,6.446209707345844,4.972674630869779,1.7144891327920497
area,mean,24,25.31933359625904,19.251255805393594,20.669335404965214,24.41040739871315,6.068077790865445,4.649998191293825,0.9089261975458882
area,mean,25,25.24452825602137,19.4598346259746,20.73724828290598,24.916207720575144,5.7846936300467675,4.507279973115388,0.32832053544622397
area,mean,26,25.71609202993358,19.72400687642269,20.909223809228656,24.863686617429767,5.992085153510892,4.806868220704924,0.8524054125038134
area,mean,27,26.401264288385768,19.73530426124167,21.14984016151456,24.044378764347172,6.665960027144099,5.251424126871207,2.3568855240385957
area,mean,28,27.02035141532716,19.72648061785787,21.243807858001826,23.07077667684034,7.293870797469289,5.776543557325333,3.9495747384868203
area,mean,29,26.75298521955685,19.771208280619412,21.136291491889097,23.07889799163549,6.98177693893744,5.616693727667755,3.674087227921362
area,mean,30,26.093298157815056,19.76836266527854,21.288154330478648,23.96193914880973,6.324935492536515,4.805143827336408,2.131359009005326
area,min,1,15.716435327111652,11.161463500524672,11.997668870497725,13.752050033661856,4.55497182658698,3.7187664566139276,1.964385293449796
area,min,2,15.320940087084397,11.061363083108475,12.35188586936659,13.716717207296067,4.259577003975922,2.9690542177178063,1.6042228797883293
area,min,3,14.838119593724654,11.079922387887867,12.477611978208953,14.17961013778675,3.7581972058367867,2.3605076155157008,0.6585094559379048
area,min,4,13.746406205549802,11.287386432679686,12.57744980641526,14.320285034103485,2.459019772870116,1.168956399134542,-0.5738788285536831
