regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Campania,area,min,30,30,10.36440194992394,11.008180763114837,12.9987236114549,11.621952088364202,5,1-31,1.257550138440262,0.6137713252493651,-1.3767715230906976
Campania,pop,max,30,30,19.902183221710914,20.845179440848195,23.996869429626596,21.65362274010266,5,1-31,1.751439518391745,0.8084432992544635,-2.343246689523937
Campania,pop,mean,30,30,16.129720587744146,16.986976844727106,19.52370943498593,17.84093624299488,5,1-31,1.711215655250733,0.8539593982677722,-1.6827731919910498
Campania,pop,min,30,30,12.019228377191439,12.742102681940489,14.539166321107933,13.576012561973496,5,1-31,1.5567841847820567,0.8339098800330067,-0.9631537591344372
Emilia-Romagna,area,max,30,30,19.52632447318981,20.973387337069145,24.012432653207785,22.298842564283497,5,1-31,2.772518091093687,1.325455227214352,-1.7135900889242883
Emilia-Romagna,area,mean,30,30,14.986739103644082,16.263638054941232,18.60589100072591,17.480661449412047,5,1-31,2.493922345767965,1.2170233944708144,-1.1252295513138648
Emilia-Romagna,area,min,30,30,10.129697523621612,11.200626973569088,12.735816318277719,12.131659671981158,5,1-31,2.001962148359546,0.9310326984120696,-0.6041566462965609
Emilia-Romagna,pop,max,30,30,20.754254213059603,22.26741669344188,25.275706279436992,23.65660426758742,5,1-31,2.9023500545278154,1.389187574145538,-1.6191020118495736
Emilia-Romagna,pop,mean,30,30,16.008766485797175,17.336029115600255,19.624600256101672,18.554959857494236,5,1-31,2.5461933716970613,1.2189307418939812,-1.0696403986074365
Emilia-Romagna,pop,min,30,30,10.873187389785699,11.975548572539887,13.455342450196929,12.822676537824863,5,1-31,1.9494891480391647,0.8471279652849759,-0.6326659123720653
Friuli-Venezia Giulia,area,max,30,30,16.401276133792287,17.77155186686573,20.285997146229054,19.2047320948815,5,1-31,2.803455961089213,1.4331802280157682,-1.081265051347554
Friuli-Venezia Giulia,area,mean,30,30,12.235673346293872,13.558605224860276,15.32215134216688,14.54904781403814,5,1-31,2.313374467744268,0.9904425891778637,-0.7731035281287397
Friuli-Venezia Giulia,area,min,30,30,7.341467308800757,8.5848843625129,8.935106404054894,8.65581925396248,5,1-31,1.3143519451617234,0.0709348914495802,-0.27928715009241323
Friuli-Venezia Giulia,pop,max,30,30,18.606362261191297,19.851006689315277,22.603858563378626,21.304840936456188,5,1-31,2.698478675264891,1.453834247140911,-1.2990176269224385
Friuli-Venezia Giulia,pop,mean,30,30,14.567025202169424,15.720465252990458,17.605595495758685,16.795548766091326,5,1-31,2.228523563921902,1.0750835131008678,-0.8100467296673592
Friuli-Venezia Giulia,pop,min,30,30,9.832124115354368,10.867761841695426,11.371069286909089,11.177641822096128,5,1-31,1.3455177067417594,0.3098799804007015,-0.19342746481296125
Lazio,area,max,30,30,19.316209440835802,20.375165541280353,23.468124146167185,21.22878943069051,5,1-31,1.9125799898547093,0.8536238894101587,-2.239334715476673
