"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"COMUNE";"COGNOME";"NOME";"DATANASCITA";"LUOGONASCITA";"SESSO";"TOTVOTI";"CONTRASSEGNO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"120";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"54";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"3";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"11";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"173";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"12";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"39";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"108";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"43";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"7";"PARTITO COMUNISTA ITALIANO"
