"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
42,2025-10-13,1.77085704041201,0.870801708509815,0.542382776220825,2.7093919712571,2.60878283435306,1.6582365713306,0.911885973320982,2.4570813123592,4.20977489064395,2.85812019110914,0.47857194846709,1.94145776202978,4.0403241110955,1.68814999744648,2.28374814468836,4.86553396846453,2.48771103546786,1.20899612046739,3.44612980599113,2.54776827449439,8.9789794501602,1.11142740490087,1.66727316586706,4.80772879510765,3.77971325454004,5.57233093089455,3.1248024302463
43,2025-10-20,1.9929907097542,0.865772690150465,0.542572114054878,2.92226369330128,2.33299244996905,1.66909581238712,0.813766392991706,2.276300840462,8.97968821546778,2.27575430937615,0.543827831553039,1.57367659864848,4.90671238758542,1.74196147415169,2.31422776230715,4.90203830556009,2.82447583144326,1.2851760742904,4.42995906633788,3.41695023585946,3.67266709933573,1.13264519769631,1.86466760889633,3.59997595682121,3.69104170858459,3.65195288328646,3.71416062368736
44,2025-10-27,1.79507740363547,1.03404386416374,0.557200268503694,2.86144777682646,2.62116981595291,2.00166884180259,0.732547549933244,2.47084130933916,9.60945617590651,6.90311028106034,0.401414391276478,2.82366017324965,4.82445033680678,2.16172202109576,2.51852302247116,4.95339277390978,6.16187773272156,1.39992246729581,3.93443431306571,5.18647682958945,3.25788384987176,1.25519918311614,1.74729886150904,2.94608030947831,3.61615010923537,4.00505790795424,4.01563033850281
45,2025-11-03,2.3001086563494,1.2941512329997,0.581609241861508,2.63281477189564,2.27149598599851,1.7307801863323,0.918915754712543,2.00106118974632,4.16968561646248,2.08730193626148,0.416607934060183,1.73846347558344,3.58272759756272,1.90329916123452,2.48371253454238,3.89983669060443,3.33523118074936,1.2189957413735,2.57563063694961,2.52455099214715,3.25615120879032,1.11037048635167,1.34836360929808,2.84891210500286,3.69922383834033,3.20138726781605,2.76375604762688
46,2025-11-10,2.48399485160408,1.61837223995465,0.525098432531138,2.86634254403595,2.47545645303953,1.72709058776674,0.855454135734081,2.34353308147671,4.02248971170182,2.67516196263073,0.455121639761164,1.5285968414886,3.7399954295214,1.72159695889717,2.4264559616305,3.66583998165507,2.7090530537298,1.20986658878142,2.67882597391981,2.6459489643612,3.22623767355146,1.00437178088592,1.89286076445502,2.74344925218023,3.5488760272958,4.05509053923367,2.72408014153164
47,2025-11-17,2.19277622391773,1.06221141236498,0.63472356782657,3.13279891422144,2.274372575477,1.7622385744449,0.788976395754884,2.51579426313969,3.71637874172068,2.5096420124031,0.418877459680997,1.45465560279415,3.59016614851949,1.40523337006384,2.44052957315061,3.59982055399188,2.62897156870072,1.24803388603438,2.41549501880805,2.64907787344436,3.66785877405577,1.09192994857741,1.79127568327572,3.03527015172476,3.4741119395938,3.41481308567046,2.68767649943884
48,2025-11-24,2.26705161432411,0.976395368690868,0.711220829315913,2.87689010617137,2.39114179912667,1.79767980932797,0.934033883239754,2.19835705592874,3.50013571316986,2.31041471123148,0.686818972710186,1.3338390574116,3.58446101832674,2.2269484964634,2.41877356743689,3.51621289864535,2.15253633371673,1.41101382841618,2.36540030642176,2.11181180719551,3.29102138746822,1.40248360550874,2.41258881066803,2.72638458392447,3.88201992067815,3.49778627668885,2.62079510511943
49,2025-12-01,1.6780967110828,1.1115522571716,0.678010055422001,3.69833314223602,2.54153868443111,1.66899149430792,1.04829085911252,2.35387594220263,3.54783913428411,2.11491566223919,0.545757028682919,2.17148484520013,4.00081222694493,1.95645005706964,2.47668049269403,3.49890068356598,2.22339545112253,1.22665129302123,2.39028629517689,2.44661945691996,3.68006042208493,1.18256202311891,1.70396925539862,3.2250812184402,3.86890226957179,4.30290162774239,2.71152655631327
50,2025-12-08,1.65494291351008,0.895656424925869,0.778089031334476,2.73599320426613,2.426989595653,1.83319130550615,0.886442483360354,2.74630760535407,3.91949695795034,3.01223278540634,0.472076040866335,2.19186169524995,3.4317126780795,2.13598113384445,2.50441701393895,3.89967488737485,2.99733222075895,1.45739720080628,2.41509799323185,2.72453824068203,3.38246345101138,1.17871847669605,1.46893069852311,2.95350020914889,4.05606787454189,NA,2.80156067436291
51,2025-12-15,2.96675158832699,1.20826876902317,0.732561167385301,3.31961112051889,3.41371184490513,2.62363482238837,0.96656555447689,4.00526606234499,7.8049170322317,2.47744663124487,0.64318111977641,4.48553941436057,5.44544433064934,3.22653868029664,6.4948226959264,5.7975734516083,4.42698415799199,1.84051390942505,2.92957226977763,6.3450582421539,5.77397603444529,1.30728997546038,1.77000710853351,4.49894350252317,5.22069635998187,5.00567864977976,4.28937096966732
52,2025-12-22,10.7233098764414,3.54349788372103,0.841251171226011,10.3784077473375,9.3055397532258,14.3037008117963,1.64514050616118,9.66692525598069,26.7297025113823,10.7140698765218,1.62233620875753,21.6419738754493,21.8271248902501,23.8232321181843,27.7240932945832,10.6036810690661,17.1963121891403,5.6387471771559,5.59829229227689,22.1282689761746,21.9792035540448,1.77489875287666,2.65548837465255,14.4085325651333,17.1059343064458,9.89707378938822,13.1940466590153
53,2025-12-29,5.5425219941349,3.71517027863777,1.04206801715023,9.24745851936695,8.8625567183516,15.6423478974076,2.68538493737322,7.45134437451054,31.7787262925734,7.1522985001829,NA,14.9198094874041,24.8640252429353,NA,28.5044315145787,11.5054444752436,25.338800040934,3.8127591261928,7.09738710169693,26.017346382088,19.0546881507464,1.3073224852071,4.83929736173276,13.9281625143568,18.348957014444,NA,14.0657357132945
