nace_r2,unit,anno,valore
C17,CP_MEUR,1984,NA
C17,CP_MEUR,1985,NA
C17,CP_MEUR,1986,NA
C17,CP_MEUR,1987,NA
C17,CP_MEUR,1988,NA
C17,CP_MEUR,1989,NA
C17,CP_MEUR,1990,NA
C17,CP_MEUR,1991,NA
C17,CP_MEUR,1992,NA
C17,CP_MEUR,1993,NA
C17,CP_MEUR,1994,NA
C17,CP_MEUR,1995,4104.1
C17,CP_MEUR,1996,4132.2
C17,CP_MEUR,1997,4099.5
C17,CP_MEUR,1998,4487.3
C17,CP_MEUR,1999,4538.3
C17,CP_MEUR,2000,4743.5
C17,CP_MEUR,2001,4725.4
C17,CP_MEUR,2002,4587.4
C17,CP_MEUR,2003,4606.2
C17,CP_MEUR,2004,4863.6
C17,CP_MEUR,2005,4664.2
C17,CP_MEUR,2006,4583.5
C17,CP_MEUR,2007,4694.5
C17,CP_MEUR,2008,4513.5
C17,CP_MEUR,2009,4494.1
C17,CP_MEUR,2010,4639.1
C17,CP_MEUR,2011,4852.8
C17,CP_MEUR,2012,4768.2
C17,CP_MEUR,2013,4673.2
C17,CP_MEUR,2014,5057.8
C17,CP_MEUR,2015,5008.8
C17,CP_MEUR,2016,5348.8
C17,CP_MEUR,2017,5662.1
C17,CP_MEUR,2018,5717.3
C17,CP_MEUR,2019,6006.5
C17,CP_MEUR,2020,5820.4
C17,CP_MEUR,2021,5770.8
C17,CP_MEUR,2022,6978.5
C17,CP_MEUR,2023,7609.2
C17,CP_MEUR,2024,NA
C17,CP_MEUR,2025,NA
C18,CLV15_MEUR,1975,NA
C18,CLV15_MEUR,1976,NA
C18,CLV15_MEUR,1977,NA
C18,CLV15_MEUR,1978,NA
C18,CLV15_MEUR,1979,NA
C18,CLV15_MEUR,1980,NA
C18,CLV15_MEUR,1981,NA
C18,CLV15_MEUR,1982,NA
C18,CLV15_MEUR,1983,NA
C18,CLV15_MEUR,1984,NA
C18,CLV15_MEUR,1985,NA
C18,CLV15_MEUR,1986,NA
C18,CLV15_MEUR,1987,NA
C18,CLV15_MEUR,1988,NA
C18,CLV15_MEUR,1989,NA
C18,CLV15_MEUR,1990,NA
C18,CLV15_MEUR,1991,NA
C18,CLV15_MEUR,1992,NA
C18,CLV15_MEUR,1993,NA
C18,CLV15_MEUR,1994,NA
C18,CLV15_MEUR,1995,5069.3
C18,CLV15_MEUR,1996,5167
C18,CLV15_MEUR,1997,4744.4
C18,CLV15_MEUR,1998,4829.8
C18,CLV15_MEUR,1999,4812.6
C18,CLV15_MEUR,2000,4884.4
C18,CLV15_MEUR,2001,5014.5
C18,CLV15_MEUR,2002,5030.9
C18,CLV15_MEUR,2003,4818.2
C18,CLV15_MEUR,2004,4723.7
C18,CLV15_MEUR,2005,4513.6
C18,CLV15_MEUR,2006,4759.8
C18,CLV15_MEUR,2007,4985.7
C18,CLV15_MEUR,2008,4856.9
C18,CLV15_MEUR,2009,3969.4
C18,CLV15_MEUR,2010,4304.4
C18,CLV15_MEUR,2011,4613.5
C18,CLV15_MEUR,2012,4313.8
C18,CLV15_MEUR,2013,4137.6
C18,CLV15_MEUR,2014,4174.7
