categoria,codice,mese,indice
"Beni intermedi",0040,2020-04,51.1
"Beni intermedi",0040,2020-05,84.3
"Beni intermedi",0040,2020-06,87.7
"Beni intermedi",0040,2020-07,98.5
"Beni intermedi",0040,2020-08,55.9
"Beni intermedi",0040,2020-09,99.5
"Beni intermedi",0040,2020-10,106.5
"Beni intermedi",0040,2020-11,100.8
"Beni intermedi",0040,2020-12,80.2
"Beni intermedi",0040,2021-01,94.9
"Beni intermedi",0040,2021-02,101.7
"Beni intermedi",0040,2021-03,111.9
"Beni intermedi",0040,2021-04,102.3
"Beni intermedi",0040,2021-05,109.3
"Beni intermedi",0040,2021-06,105.4
"Beni intermedi",0040,2021-07,111.1
"Beni intermedi",0040,2021-08,58.7
"Beni intermedi",0040,2021-09,106.9
"Beni intermedi",0040,2021-10,110.3
