branca,codice,misura,anno,valore_migliaia
"Elettronica e ottica",C26,unita_di_lavoro,2001,114.2
"Elettronica e ottica",C26,unita_di_lavoro,2002,119.6
"Elettronica e ottica",C26,unita_di_lavoro,2003,117.2
"Elettronica e ottica",C26,unita_di_lavoro,2004,115.1
"Elettronica e ottica",C26,unita_di_lavoro,2005,115
"Elettronica e ottica",C26,unita_di_lavoro,2006,116.1
"Elettronica e ottica",C26,unita_di_lavoro,2007,117
"Elettronica e ottica",C26,unita_di_lavoro,2008,114
"Elettronica e ottica",C26,unita_di_lavoro,2009,103.1
"Elettronica e ottica",C26,unita_di_lavoro,2010,100.4
"Elettronica e ottica",C26,unita_di_lavoro,2011,102
"Elettronica e ottica",C26,unita_di_lavoro,2012,97.3
"Elettronica e ottica",C26,unita_di_lavoro,2013,96.3
"Elettronica e ottica",C26,unita_di_lavoro,2014,89.4
"Elettronica e ottica",C26,unita_di_lavoro,2015,87.3
"Elettronica e ottica",C26,unita_di_lavoro,2016,88
"Elettronica e ottica",C26,unita_di_lavoro,2017,88.6
"Elettronica e ottica",C26,unita_di_lavoro,2018,89.8
"Elettronica e ottica",C26,unita_di_lavoro,2019,88.9
"Elettronica e ottica",C26,unita_di_lavoro,2020,82.6
"Elettronica e ottica",C26,unita_di_lavoro,2021,89.6
"Elettronica e ottica",C26,unita_di_lavoro,2022,91.3
"Elettronica e ottica",C26,unita_di_lavoro,2023,94.5
"Elettronica e ottica",C26,unita_di_lavoro,2024,97.7
"Elettronica e ottica",C26,unita_di_lavoro,2025,94.4
"Apparecchiature elettriche",C27,unita_di_lavoro,1995,167.1
"Apparecchiature elettriche",C27,unita_di_lavoro,1996,164.7
"Apparecchiature elettriche",C27,unita_di_lavoro,1997,170.7
"Apparecchiature elettriche",C27,unita_di_lavoro,1998,174.4
"Apparecchiature elettriche",C27,unita_di_lavoro,1999,173
"Apparecchiature elettriche",C27,unita_di_lavoro,2000,176.5
