DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2015-01-01,80.758,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2015-01-01,85.652,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2015-01-01,83.15,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2015-01-01,81.048,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2015-01-01,85.768,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2015-01-01,83.354,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2015-01-01,80.317,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2015-01-01,84.769,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2015-01-01,82.491,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2015-01-01,79.306,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2015-01-01,83.775,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2015-01-01,81.487,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2015-01-01,78.207,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2015-01-01,82.747,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2015-01-01,80.423,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2015-01-01,79.45,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2015-01-01,84.143,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2015-01-01,81.74,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2015-01-01,79.264,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2015-01-01,83.287,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2015-01-01,81.227,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2016-01-01,80.59,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2016-01-01,85.085,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2016-01-01,82.785,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2016-01-01,80.891,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2016-01-01,85.418,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2016-01-01,83.103,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2016-01-01,81.107,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2016-01-01,85.669,,,,,,,,,,
