anno,classe_di_eta,tipologia_contrattuale,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,40  - 44,Tempo indeterminato,Fino a 3 mesi,99923,976003,724451,3572053,246614874
2015,40  - 44,Tempo indeterminato,Oltre 3 e fino a 6 mesi,88790,2515419,1902798,10750109,724948138
2015,40  - 44,Tempo indeterminato,Oltre 6 e meno di 12 mesi,405876,19577148,16518749,101783314,7406647833
2015,40  - 44,Tempo indeterminato,Anno intero,1290514,67106362,61891508,401288651,40264208180
2015,45  - 49,Stagionale,Fino a 3 mesi,11369,117915,92111,474067,29695676
2015,45  - 49,Stagionale,Oltre 3 e fino a 6 mesi,15828,385093,332995,1855575,124705795
2015,45  - 49,Stagionale,Oltre 6 e meno di 12 mesi,12723,490426,447991,2523484,194956974
2015,45  - 49,Stagionale,Anno intero,228,11856,10545,70443,5537533
2015,45  - 49,Tempo determinato,Fino a 3 mesi,78490,685734,530291,2733192,168319302
2015,45  - 49,Tempo determinato,Oltre 3 e fino a 6 mesi,56195,1426780,1181335,6769939,440099991
2015,45  - 49,Tempo determinato,Oltre 6 e meno di 12 mesi,89888,3875828,3413004,20582893,1433517468
2015,45  - 49,Tempo determinato,Anno intero,27044,1406276,1246773,8373049,655776572
2015,45  - 49,Tempo indeterminato,Fino a 3 mesi,83222,801536,603618,2949100,211620444
2015,45  - 49,Tempo indeterminato,Oltre 3 e fino a 6 mesi,73247,2093811,1593974,8886207,623525036
2015,45  - 49,Tempo indeterminato,Oltre 6 e meno di 12 mesi,364866,17701501,14973191,91928069,6830343309
2015,45  - 49,Tempo indeterminato,Anno intero,1262585,65654054,60533324,392677830,41888927493
2015,50  - 54,Stagionale,Fino a 3 mesi,9271,95413,75285,381717,24389220
2015,50  - 54,Stagionale,Oltre 3 e fino a 6 mesi,13095,320130,277729,1546505,104746624
2015,50  - 54,Stagionale,Oltre 6 e meno di 12 mesi,10164,389246,356118,2008678,156526001
2015,50  - 54,Stagionale,Anno intero,155,8060,7158,47889,4011105
2015,50  - 54,Tempo determinato,Fino a 3 mesi,60368,524451,411594,2082452,132586900
2015,50  - 54,Tempo determinato,Oltre 3 e fino a 6 mesi,41872,1064770,887369,5029980,338483737
2015,50  - 54,Tempo determinato,Oltre 6 e meno di 12 mesi,66573,2863495,2542615,15215424,1088047468
2015,50  - 54,Tempo determinato,Anno intero,19814,1030317,912094,6134454,491302433
2015,50  - 54,Tempo indeterminato,Fino a 3 mesi,67928,666769,514563,2385727,180230485
2015,50  - 54,Tempo indeterminato,Oltre 3 e fino a 6 mesi,58373,1690599,1307686,7074248,520767448
2015,50  - 54,Tempo indeterminato,Oltre 6 e meno di 12 mesi,305922,14893544,12704983,77390178,5943720657
2015,50  - 54,Tempo indeterminato,Anno intero,1097373,57063079,53002271,341340849,38434559519
2015,55  - 59,Stagionale,Fino a 3 mesi,6059,62259,49893,248711,16376183
2015,55  - 59,Stagionale,Oltre 3 e fino a 6 mesi,8936,217352,189464,1052772,72417512
2015,55  - 59,Stagionale,Oltre 6 e meno di 12 mesi,6677,254744,233688,1313256,103655549
2015,55  - 59,Stagionale,Anno intero,96,4992,4492,29670,2560289
2015,55  - 59,Tempo determinato,Fino a 3 mesi,37770,333451,271356,1314159,88426418
2015,55  - 59,Tempo determinato,Oltre 3 e fino a 6 mesi,25989,662323,562224,3105163,222752238
2015,55  - 59,Tempo determinato,Oltre 6 e meno di 12 mesi,38687,1661373,1476608,8817150,676042707
2015,55  - 59,Tempo determinato,Anno intero,12241,636525,572010,3791971,364276097
2015,55  - 59,Tempo indeterminato,Fino a 3 mesi,55813,561621,459197,2051588,180220975
2015,55  - 59,Tempo indeterminato,Oltre 3 e fino a 6 mesi,49540,1396459,1140446,6067466,503797108
2015,55  - 59,Tempo indeterminato,Oltre 6 e meno di 12 mesi,219396,10560636,9186639,55206934,4532979660
2015,55  - 59,Tempo indeterminato,Anno intero,751664,39086358,36683828,233855879,27960669765
2015,60  - 64,Stagionale,Fino a 3 mesi,3322,34785,26542,132602,8441522
2015,60  - 64,Stagionale,Oltre 3 e fino a 6 mesi,4842,117261,100758,569735,39291506
2015,60  - 64,Stagionale,Oltre 6 e meno di 12 mesi,3196,119622,108435,619049,48647604
2015,60  - 64,Stagionale,Anno intero,39,2028,1686,12058,925793
2015,60  - 64,Tempo determinato,Fino a 3 mesi,21231,187270,154787,711206,52479944
2015,60  - 64,Tempo determinato,Oltre 3 e fino a 6 mesi,12619,324405,273762,1497768,118083979
2015,60  - 64,Tempo determinato,Oltre 6 e meno di 12 mesi,16639,715133,623751,3791853,328999169
2015,60  - 64,Tempo determinato,Anno intero,5828,303053,267134,1807202,224070802
2015,60  - 64,Tempo indeterminato,Fino a 3 mesi,38698,408353,341291,1476480,147626994
2015,60  - 64,Tempo indeterminato,Oltre 3 e fino a 6 mesi,33178,927618,769943,4089935,395665848
2015,60  - 64,Tempo indeterminato,Oltre 6 e meno di 12 mesi,101226,4749147,4047120,24898945,2115644262
2015,60  - 64,Tempo indeterminato,Anno intero,268487,13961244,12861502,83548945,10275002025
2015,65 ed oltre,Stagionale,Fino a 3 mesi,2497,25307,15833,84103,4758488
2015,65 ed oltre,Stagionale,Oltre 3 e fino a 6 mesi,1846,44265,32260,211469,13076726
2015,65 ed oltre,Stagionale,Oltre 6 e meno di 12 mesi,797,29866,24054,155390,11059926
2015,65 ed oltre,Stagionale,Anno intero,18,936,729,5577,744822
2015,65 ed oltre,Tempo determinato,Fino a 3 mesi,12560,98550,77680,318180,23559135
2015,65 ed oltre,Tempo determinato,Oltre 3 e fino a 6 mesi,4475,119636,91643,527615,39873834
2015,65 ed oltre,Tempo determinato,Oltre 6 e meno di 12 mesi,4206,181287,139192,947910,73807477
2015,65 ed oltre,Tempo determinato,Anno intero,1468,76336,59222,455417,61834629
2015,65 ed oltre,Tempo indeterminato,Fino a 3 mesi,19114,229402,173711,638165,47640164
2015,65 ed oltre,Tempo indeterminato,Oltre 3 e fino a 6 mesi,11903,371570,263363,1430860,106332919
2015,65 ed oltre,Tempo indeterminato,Oltre 6 e meno di 12 mesi,22530,1036518,734107,5346284,363736116
2015,65 ed oltre,Tempo indeterminato,Anno intero,39856,2072427,1596898,12402787,1117177149
2015,Fino a 19,Stagionale,Fino a 3 mesi,18610,166456,115865,687165,32983896
2015,Fino a 19,Stagionale,Oltre 3 e fino a 6 mesi,2729,58472,46278,271865,14443188
2015,Fino a 19,Stagionale,Oltre 6 e meno di 12 mesi,600,24038,21847,122754,7775130
2015,Fino a 19,Stagionale,Anno intero,25,1300,1163,7709,510725
2015,Fino a 19,Tempo determinato,Fino a 3 mesi,47947,349663,242209,1285898,62537336
2015,Fino a 19,Tempo determinato,Oltre 3 e fino a 6 mesi,8075,189588,142421,881410,47110741
2015,Fino a 19,Tempo determinato,Oltre 6 e meno di 12 mesi,3038,126393,96486,650645,36542386
2015,Fino a 19,Tempo determinato,Anno intero,525,27299,23055,162589,13850178
2015,Fino a 19,Tempo indeterminato,Fino a 3 mesi,28977,264832,187294,1063705,47087078
2015,Fino a 19,Tempo indeterminato,Oltre 3 e fino a 6 mesi,14262,347001,261337,1637007,75041147
2015,Fino a 19,Tempo indeterminato,Oltre 6 e meno di 12 mesi,12629,543999,411231,2836776,123327000
2015,Fino a 19,Tempo indeterminato,Anno intero,6841,355732,308686,2121550,97510951
2016,20  - 24,Stagionale,Fino a 3 mesi,32778,323632,236746,1350770,71536236
2016,20  - 24,Stagionale,Oltre 3 e fino a 6 mesi,20374,470379,383879,2230733,128397672
2016,20  - 24,Stagionale,Oltre 6 e meno di 12 mesi,10469,418515,373009,2140278,142314291
2016,20  - 24,Stagionale,Anno intero,370,19240,16671,114308,8106152
2016,20  - 24,Tempo determinato,Fino a 3 mesi,186205,1620868,1124338,6036040,305662693
2016,20  - 24,Tempo determinato,Oltre 3 e fino a 6 mesi,86502,2206132,1636838,9962115,541605022
2016,20  - 24,Tempo determinato,Oltre 6 e meno di 12 mesi,97870,4252168,3423033,22059209,1289369206
2016,20  - 24,Tempo determinato,Anno intero,29119,1514184,1296355,9016602,583382414
2016,20  - 24,Tempo indeterminato,Fino a 3 mesi,83282,879943,617869,3304488,154364887
