"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"PALMARIGGI","LECCE",7,500,274,0.9,64.02,35.08,1431,855,49,806,59.75,"CDX",226,18.381254,40.133075,75,16
"PALO DEL COLLE","BARI",197,4495,6986,1.69,38.49,59.82,19222,12976,891,12085,67.51,"CSX/M5S",2491,16.652583,41.04086,72,16
"PANNI","FOGGIA",6,181,299,1.23,37.24,61.52,1420,533,28,505,37.54,"CSX/M5S",118,15.284301,41.211841,71,16
"PARABITA","LECCE",141,1191,3271,3.06,25.87,71.06,9116,4893,167,4726,53.67,"CSX/M5S",2080,18.113125,40.056676,75,16
"PATU'","LECCE",24,233,765,2.35,22.8,74.85,1718,1085,47,1038,63.15,"CSX/M5S",532,18.319389,39.828822,75,16
"PESCHICI","FOGGIA",23,1205,700,1.19,62.5,36.31,4222,2072,66,2006,49.08,"CDX",505,16.031925,41.911906,71,16
"PIETRAMONTECORVINO","FOGGIA",12,462,817,0.93,35.79,63.28,2593,1396,67,1329,53.84,"CSX/M5S",355,15.154032,41.546447,71,16
"POGGIARDO","LECCE",55,1386,1615,1.8,45.35,52.85,5424,3249,130,3119,59.9,"CSX/M5S",229,18.385652,40.059501,75,16
"POGGIO IMPERIALE","FOGGIA",11,536,480,1.07,52.19,46.74,2292,1137,70,1067,49.61,"CDX",56,15.339455,41.829808,71,16
"POGGIORSINI","BARI",335,266,222,40.7,32.32,26.97,1188,868,21,847,73.06,"CDX",44,16.249281,40.920684,72,16
"POLIGNANO A MARE","BARI",139,2377,5097,1.83,31.22,66.95,17174,8013,244,7769,46.66,"CSX/M5S",2720,17.191309,40.972624,72,16
"PORTO CESAREO","LECCE",135,2304,1095,3.82,65.2,30.98,5472,4029,423,3606,73.63,"CDX",1209,17.835208,40.294191,75,16
"PRESICCE-ACQUARICA","LECCE",211,2104,2928,4.02,40.13,55.85,11259,6292,840,5452,55.88,"CSX/M5S",824,18.245653,39.896689,75,16
"PULSANO","TARANTO",391,2382,2502,7.41,45.16,47.43,9825,5653,203,5450,57.54,"CSX/M5S",120,17.3666,40.371287,73,16
"PUTIGNANO","BARI",333,5280,7697,2.5,39.67,57.83,24492,14329,574,13755,58.5,"CSX/M5S",2417,17.088952,40.842992,72,16
