anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,437864,20369251,15993440,105626919,6144137803
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,631695,32848080,27260248,196326397,13497450703
2016,Sanita' e assistenza sociale,Fino a 3 mesi,60486,658288,410321,2431372,132882170
2016,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,56843,1578040,1023832,6863120,375112587
2016,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,189616,8960535,6706586,46364630,2670121373
2016,Sanita' e assistenza sociale,Anno intero,434062,22571199,19574997,135064491,9491978908
2016,Servizi di informazione e comunicazione,Fino a 3 mesi,67324,348069,299648,1225267,119063766
2016,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,22910,596683,496062,2741790,253037682
2016,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,94188,4519521,4063508,24227938,2487327140
2016,Servizi di informazione e comunicazione,Anno intero,323266,16809829,15916933,100626773,12194851411
2016,Trasporto e magazzinaggio,Fino a 3 mesi,80643,801429,645253,3114050,217265654
2016,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,76518,2071258,1761531,9255529,744360428
2016,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,272959,13003035,11791017,67353074,5408206768
2016,Trasporto e magazzinaggio,Anno intero,611650,31805769,30527563,190227298,18888736352
2017,Altre attivita' di servizi,Fino a 3 mesi,63826,695893,454692,2383509,111198635
2017,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,48359,1392661,910426,5739233,275620336
2017,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,124480,5840045,4349792,29957551,1565875831
2017,Altre attivita' di servizi,Anno intero,243416,12657603,10930049,75691794,5634950352
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,82114,727367,493107,2637584,143151880
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,40411,998888,748656,4612646,315685719
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,41362,1842901,1449541,9614704,726920782
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,66663,3466476,3086003,20722556,2056549584
2017,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,426773,4804950,3288579,15144784,680771105
2017,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,314480,8556867,6096168,36634451,1837688858
2017,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,478613,21101849,15081521,108599328,5687429622
2017,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,408857,21260517,16744113,126956861,7527731394
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,6023,48682,32846,188568,10310069
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2359,70703,41566,281644,14208357
