paese,data,indice_1991_100
Italia,2019-11-01,96.57
Italia,2019-12-01,95.91
Italia,2020-01-01,95.73
Italia,2020-02-01,95.39
Italia,2020-03-01,90.69
Italia,2020-04-01,83.66
Italia,2020-05-01,80.61
Italia,2020-06-01,79.04
Italia,2020-07-01,77.95
Italia,2020-08-01,78.17
Italia,2020-09-01,82.15
Italia,2020-10-01,88.89
Italia,2020-11-01,91.3
Italia,2020-12-01,92.68
Italia,2021-01-01,93.48
Italia,2021-02-01,93.18
Italia,2021-03-01,93.61
Italia,2021-04-01,93.95
Italia,2021-05-01,94.37
Italia,2021-06-01,95.02
Italia,2021-07-01,95.43
Italia,2021-08-01,95.71
Italia,2021-09-01,96.05
Italia,2021-10-01,96.13
Italia,2021-11-01,96.77
Italia,2021-12-01,96.89
Italia,2022-01-01,96.08
Italia,2022-02-01,96.32
Italia,2022-03-01,96.52
Italia,2022-04-01,97.06
Italia,2022-05-01,96.93
Italia,2022-06-01,96.68
Italia,2022-07-01,97.3
Italia,2022-08-01,97.51
Italia,2022-09-01,97.22
Italia,2022-10-01,96.41
Italia,2022-11-01,95.91
Italia,2022-12-01,96
Italia,2023-01-01,95.81
Italia,2023-02-01,95.33
Italia,2023-03-01,95.17
Italia,2023-04-01,94.9
Italia,2023-05-01,94.88
Italia,2023-06-01,94.67
Italia,2023-07-01,94.51
Italia,2023-08-01,94.32
Italia,2023-09-01,94.17
Italia,2023-10-01,94.33
Italia,2023-11-01,93.95
Italia,2023-12-01,93.92
Italia,2024-01-01,93.52
Italia,2024-02-01,93.18
Italia,2024-03-01,92.76
Italia,2024-04-01,92.2
Italia,2024-05-01,91.96
Italia,2024-06-01,91.38
Italia,2024-07-01,91.11
Italia,2024-08-01,90.77
Italia,2024-09-01,90.43
Italia,2024-10-01,90.32
Italia,2024-11-01,90.24
Italia,2024-12-01,89.78
Italia,2025-01-01,89.89
Italia,2025-02-01,89.76
Italia,2025-03-01,89.76
Italia,2025-04-01,89.83
Italia,2025-05-01,89.79
Italia,2025-06-01,90.15
Italia,2025-07-01,90.21
Italia,2025-08-01,90.07
Italia,2025-09-01,90.27
Italia,2025-10-01,90.19
Italia,2025-11-01,90.37
Italia,2025-12-01,90.42
Italia,2026-01-01,90.27
Italia,2026-02-01,90.5
Italia,2026-03-01,90.5
